"total_trx","total_amount","tx_day"
8,80000,2018-12-20 00:00:00.000
4,40000,2018-12-28 00:00:00.000
4,40000,2019-01-18 00:00:00.000
114,7800000,2019-01-25 00:00:00.000
34,1210000,2019-01-26 00:00:00.000
4,40000,2019-01-27 00:00:00.000
6,328000,2019-01-28 00:00:00.000
20,720000,2019-01-29 00:00:00.000
6,220000,2019-01-30 00:00:00.000
4,40000,2019-01-31 00:00:00.000
2,100000,2019-02-01 00:00:00.000
6,140000,2019-02-02 00:00:00.000
2,20000,2019-02-04 00:00:00.000
4,120000,2019-02-05 00:00:00.000
2,4000000,2019-02-06 00:00:00.000
2,20000,2019-02-11 00:00:00.000
4,300000,2019-02-13 00:00:00.000
2,20000,2019-02-20 00:00:00.000
2,20000,2019-02-23 00:00:00.000
2,200000,2019-02-25 00:00:00.000
2,30000,2019-02-26 00:00:00.000
2,100000,2019-03-01 00:00:00.000
4,700000,2019-03-03 00:00:00.000
2,200000,2019-03-04 00:00:00.000
4,40000,2019-03-06 00:00:00.000
2,100000,2019-03-11 00:00:00.000
2,20000,2019-03-12 00:00:00.000
6,70000,2019-03-20 00:00:00.000
2,200000,2019-04-09 00:00:00.000
4,200000,2019-04-10 00:00:00.000
2,200000,2019-04-12 00:00:00.000
2,20000,2019-04-16 00:00:00.000
2,200000,2019-04-18 00:00:00.000
2,50000,2019-04-22 00:00:00.000
6,270000,2019-04-25 00:00:00.000
4,40000,2019-04-26 00:00:00.000
2,100000,2019-04-27 00:00:00.000
10,100000,2019-04-29 00:00:00.000
4,400000,2019-05-03 00:00:00.000
2,100000,2019-05-09 00:00:00.000
4,230000,2019-05-12 00:00:00.000
2,68000,2019-05-21 00:00:00.000
2,200000,2019-05-30 00:00:00.000
2,100000,2019-06-12 00:00:00.000
2,40000,2019-06-13 00:00:00.000
2,20000,2019-06-14 00:00:00.000
2,20000,2019-06-15 00:00:00.000
2,100000,2019-06-26 00:00:00.000
2,200000,2019-06-29 00:00:00.000
2,30000,2019-07-03 00:00:00.000
2,100000,2019-07-04 00:00:00.000
2,30000,2019-07-09 00:00:00.000
6,90000,2019-07-16 00:00:00.000
2,100000,2019-07-18 00:00:00.000
2,100000,2019-07-22 00:00:00.000
2,50000,2019-07-25 00:00:00.000
4,620000,2019-07-26 00:00:00.000
2,20000,2019-07-29 00:00:00.000
2,200000,2019-07-30 00:00:00.000
2,20000,2019-08-01 00:00:00.000
6,320000,2019-08-16 00:00:00.000
40,53372000,2019-08-19 00:00:00.000
14,21800000,2019-08-20 00:00:00.000
27,35230000,2019-08-21 00:00:00.000
24,32420000,2019-08-22 00:00:00.000
44,70400000,2019-08-23 00:00:00.000
20,36000000,2019-08-24 00:00:00.000
4,8100000,2019-08-25 00:00:00.000
34,49300000,2019-08-26 00:00:00.000
44,68700000,2019-08-27 00:00:00.000
40,55200000,2019-08-28 00:00:00.000
28,38300000,2019-08-29 00:00:00.000
44,71800000,2019-08-30 00:00:00.000
60,96390000,2019-08-31 00:00:00.000
40,61800000,2019-09-01 00:00:00.000
64,103460000,2019-09-02 00:00:00.000
40,55000000,2019-09-03 00:00:00.000
44,60550000,2019-09-04 00:00:00.000
114,182040000,2019-09-05 00:00:00.000
138,201840000,2019-09-06 00:00:00.000
132,202480000,2019-09-07 00:00:00.000
96,144470000,2019-09-08 00:00:00.000
18,27050000,2019-09-09 00:00:00.000
10,10140000,2019-09-10 00:00:00.000
6,8900000,2019-09-11 00:00:00.000
2,3400000,2019-09-12 00:00:00.000
14,21950000,2019-09-13 00:00:00.000
6,11200000,2019-09-14 00:00:00.000
4,8100000,2019-09-15 00:00:00.000
2,7270000,2019-09-16 00:00:00.000
6,15900000,2019-09-17 00:00:00.000
4,9000000,2019-09-19 00:00:00.000
4,5200000,2019-09-20 00:00:00.000
2,2700000,2019-09-21 00:00:00.000
4,5300000,2019-09-22 00:00:00.000
2,1600000,2019-09-23 00:00:00.000
6,8150000,2019-09-24 00:00:00.000
2,900000,2019-09-25 00:00:00.000
2,4000000,2019-09-26 00:00:00.000
4,9150000,2019-09-27 00:00:00.000
4,9330000,2019-09-28 00:00:00.000
6,4200000,2019-09-29 00:00:00.000
14,7500000,2019-09-30 00:00:00.000
4,8200000,2019-10-01 00:00:00.000
10,15790000,2019-10-02 00:00:00.000
4,5500000,2019-10-03 00:00:00.000
6,11110000,2019-10-04 00:00:00.000
12,37140000,2019-10-05 00:00:00.000
6,21210000,2019-10-07 00:00:00.000
4,5550000,2019-10-10 00:00:00.000
6,12200000,2019-10-11 00:00:00.000
4,13120000,2019-10-15 00:00:00.000
2,1800000,2019-10-16 00:00:00.000
10,180000,2019-10-17 00:00:00.000
4,7620000,2019-10-18 00:00:00.000
4,5200000,2019-10-19 00:00:00.000
2,4000000,2019-10-20 00:00:00.000
12,17850000,2019-10-21 00:00:00.000
12,25390000,2019-10-22 00:00:00.000
16,36040000,2019-10-23 00:00:00.000
26,72022500,2019-10-24 00:00:00.000
76,178326000,2019-10-25 00:00:00.000
92,207726000,2019-10-26 00:00:00.000
86,189460000,2019-10-27 00:00:00.000
76,168985000,2019-10-28 00:00:00.000
48,81975000,2019-10-29 00:00:00.000
44,87729000,2019-10-30 00:00:00.000
74,161447000,2019-10-31 00:00:00.000
90,196240000,2019-11-01 00:00:00.000
28,55580000,2019-11-02 00:00:00.000
4,2910000,2019-11-03 00:00:00.000
2,3750000,2019-11-04 00:00:00.000
