company_id,company_name,tanggal_pembukaan_instansi,rekening_induk,total_trx,total_amount,tx_month,tx_year,fee_bjbs_total_amount,fee_bjbs_total_rek_ia,fee_bjbs_per_tx,fee_institusi_total_amount,fee_institusi_total_rek_ia,fee_institusi_per_tx,fee_3rd_party_total_amount,fee_3rd_party_total_rek_ia,fee_3rd_party_per_tx
60,Universitas Nusa Bangsa,2/1/2019 4:58:37 pm,0040102001205,117,216762000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
78,YAYASAN AL KAUTSAR KLAPANUNGGAL CIBUBUR,8/6/2019 7:18:00 am,5370102001003,390,277860000,MAY      ,2023,500,537194260070002360,500,500,5370102001003,500,1000,0080102033620,1000
97,SD Islam Khalifah Serang,12/2/2019 2:19:45 am,0050301032556,555,356216000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
104,UIN Sunan Gunung Djati Pasca,1/28/2020 5:05:58 am,7070109000080,403,541400000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
108,Yayasan Darul Izzah Depok,2/17/2020 2:37:50 am,5050102002006,89,106512000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
120,TK Plus Al Kautsar Kopo,4/29/2020 8:15:56 am,5320102000345,41,33475000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
126,SMP KHALIFAH Serang,5/6/2020 2:24:53 am,0050206036930,41,30450000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
129,Yayasan Pendidikan Islam Bintang Cipta Madani,5/28/2020 3:16:03 am,5250102001200,464,530641000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
132,STAI Bani Saleh,6/24/2020 1:34:07 am,5340102000171,8,5183500,MAY      ,2023,2428000,534194260070001360,2000,0,N/A,0,2927000,0080102033620,2500
135,SD Al Quran Bina Mulya,7/2/2020 7:41:47 am,5490102000515,106,43562500,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
136,SMP Boarding Bina Mulya,7/2/2020 7:42:54 am,5490102000515,20,21240000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
138,Ponpes Tahfidz Adh Dhuha,7/8/2020 2:21:58 am,5240101001170,50,61564500,MAY      ,2023,706500,524194260070002360,500,0,N/A,0,1162500,0080102033620,1000
139,Paud Dhuhaa Islamic School,7/8/2020 2:55:06 am,5240101001155,17,13871000,MAY      ,2023,478500,524194260070002360,500,0,N/A,0,605500,0080102033620,1000
140,SD DHUHAA ISLAMIC SCHOOL,7/8/2020 3:21:21 am,5240101001166,62,67076000,MAY      ,2023,665500,524194260070002360,500,0,N/A,0,1284500,0080102033620,1000
143,STHG Tasikmalaya S1,7/9/2020 7:17:55 am,0020102002620,66,169523500,MAY      ,2023,3903000,002194260070001360,2000,0,N/A,0,4981000,0080102033620,2500
146,STIT Al - Marhalah Al - Ulya,7/13/2020 1:15:23 am,0060102071304,7,16009000,MAY      ,2023,3068500,006194260070001360,2000,0,N/A,0,2718500,0080102033620,2500
